bus_number,source,destination,via,platform
355-E,MAJESTIC,BANDENALLASANDRA,"MADIWALA, HEBBAGODI, BIOCON FACTORY, KYALASANAHALLI",26-B
356-A,MAJESTIC,THATTNAHALLI,"MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU",26-C
356-D,MAJESTIC,SAMPIGENAGAR,"MADIWALA, KUDLUGATE, HUSKUR GATE",26-C
356-H,MAJESTIC,SURYANAGAR (CHANDAPUR),"MADIWALA, HEBBAGODI, CHANDAPURA",26-C
356-M,MAJESTIC,ANEKAL,"MADIWALA, HEBBAGODI, CHANDAPURA, JGGALURU, TARAPUR GATE",26-C
356-CB,MAJESTIC,ELECTRONIC CITY 2ND STAGE,"MADIWALA, KONAPPANA AGRAHARA",26-C
358-A,MAJESTIC,SAMANDURU,"MADIWALA, HEBBAGODI, CHANDAPURA, GUTTADAHATTI CROSS, KAMBLIPURA TEMPLE",26-C
360-B,MAJESTIC,ATTIBELE,"MADIWALA, HEBBAGODI, CHANDAPURA",26-C
360-J,MAJESTIC,ATTIBELE,"LALBAGH, MADIWALA, HEBBAGODI, CHANDAPURA",26-C
365,MAJESTIC,BANNERGHATTA NATIONAL PARK,"BANGALORE DAIRY, GOTTIGERE, KALKERE",27
365-C,MAJESTIC,KOPPA,"BANGALORE DAIRY, BILEKANAHALLI, BASAVANAPURA, KOPPA GATE",27
365-D,MAJESTIC,BILVARADAHALLI,"BANGALORE DAIRY, GOTTIGERE, BASAVANAPURA",27
365-E,MAJESTIC,SHANUBHOGANAHALLI,"BANGALORE DAIRY, GOTTIGERE, BILAVARADAHALLI",27
365-F,MAJESTIC,NOSENURU,"BANGALORE DIARY, GOTTIGERE, KOPPA GATE, JIGANI, HARAGADDE",27
365-J,MAJESTIC,JIGANI,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, KOPPA GATE",27
365-N,MAJESTIC,GEDDENAHALLI,"BANGALORE DIARY, GOTTIGERE, JIGANI, GOWDANAHALLI",27
365-P,MAJESTIC,ANEKAL,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, HARAGADDE",27
369-C,MAJESTIC,HULIMAVU,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU GATE",27-A
369-D,MAJESTIC,SHANTINIKETAN LAYOUT,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE",27-A
369-J,MAJESTIC,C.K. PALYA,"BANGALORE DIARY, HULIMAVU GATE, CHIKKAMMANAHALLI",27-A
365-Q,MAJESTIC,DYAVASANDRA,"BANGALORE DIARY, HULIMAVU GATE, JIGANI HARAGADDE",27-A
365-R,MAJESTIC,BASAVANAPURA,"BANGALORE DIARY, HULIMAVU GATE, GOTTIGERE",27-A
365-W,MAJESTIC,VADERA MANCHENAHALLI,"BANGALORE DIARY, HULIMAVU GATE, KALKERE, JIGANI",27-A
367-F,MAJESTIC,PILLAGANAHALLI,"BANGALORE DIARY, HULIMAVU GATE, BASAVANAPURA GATE",27-A
369-CA,MAJESTIC,CHIKKAMMANAHALLI,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU",27-A
369-H,MAJESTIC,MICO SHRAMAJEEVI COLONY,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE",27-A
369-F,MAJESTIC,HOMMADEVANAHALLI,"BANGALORE DIARY, BILEKANAHALLI, CHIKKAMMANAHALLI",27-A
372-F,MAJESTIC,NISARGA BADAVANE,"BANGALORE DIARY, BILEKANAHALLI, KALKERE, KOPPA GATE",27-A
304-R,MAJESTIC,B.N. BACHE GOWDA BADAVANE,"CORPORATION,HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, MEDIMALLASANDRA, NARAYANAKERE",28
304-L,MAJESTIC,MEDIMALLASANDRA,"CORPORATION, HALASURU, K.R. PURAM RAILWAY STATION, GARUDACHAR PALYA, HOODI, BODANA HOSAHALLI, DUNNASANDRA",28
304-X,MAJESTIC,AREHALLI,"HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, DUNNASANDRA",28
304-J,MAJESTIC,KALKUNTE AGRAHARA,"CORPORATION, HALASURU, GARUDACHAR PALYA, HOPE FARM, DUNNASANDRA",28
304-Z,MAJESTIC,CHIKKA THIRUPATHI,"GARUDACHAR PALYA, BODANA HOSAHALLI, KALKUNTE AGRAHARA",28
305-D,MAJESTIC,CHANNASANDRA,"HALASURI, GARUDACHAR PALYA, HOPE FARM",28
305-S,MAJESTIC,SOURYA HOSPITAL,"HALASURU, GARUDACHAR PALYA, CHANNASANDRA, NADUVATTI",28
315-J,MAJESTIC,RAMPURA,"HALASURU, K.R. PURAM, AVALAHALLI, BIDARAHALLI, ADURU",28-A
315-K,MAJESTIC,K.R. PURAM,"HALASURU, BENNIGANAHALLI, CHANNASANDRA BRIDGE, RAMURTHY NAGAR",28-A
315-L,MAJESTIC,RAMAMURTHY NAGAR,"HALASURU, BENNIGANAHALLI BRIDGE, RING ROAD",28-A
315-P,MAJESTIC,SHANTI LAYOUT,"HALASURU, BENNIGANAHALLI, RAMURTHY NAGAR, KOWDENAHALLI",28-A
315-T,MAJESTIC,KITHAGANUR,"HALASURU, BENNIGANAHALLI, KOWDENAHALLI, T.C. PALYA",28-A
315-V,MAJESTIC,KADUGODI BALAJI CIRCLE,"HALASURU, K.R. PURAM, SADARAMANGALA, HOODI",28-A
316-B,MAJESTIC,BUDIGERE,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS",28-B
316-E,MAJESTIC,CHEEMASANDRA,"HALASURU, K.R. PURA, AVALAHALLI, CHEEMASANDRA CROSS",28-B
316-G,MAJESTIC,MANDURU,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS",28-B
316-M,MAJESTIC,SINGRAHALLI,"HALASURU, K.R. PURA, BUDIGERE CROSS, BUDIGERE",28-B
317-A,MAJESTIC,HOSAKOTE,"HALASURU, K.R. PURA, BUDIGERE CROSS",28-B
317-P,MAJESTIC,KANNAMANGALA,"HALASURU, K.R. PURA, BUDIGERE CROSS, KAJI SONNENAHALLI",28-B
317-V,MAJESTIC,POOJENA AGRAHARA (NADUVATTI),"HALASURU, K.R.PURA, BUDIGERE CROSS, HOSAKOTE, KODIHALLI, BASAVANAHALLI",28-B
381,MAJESTIC,THIMMASANDRA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28-B
381-E,MAJESTIC,KAMBIPURA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28-B
381-A,MAJESTIC,POOJENA AGRAHARA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28-B
HK-12,MAJESTIC,HOSAKOTE,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28-B
319-F,MAJESTIC,BATTANDURU AGRAHARA,"HALASURU, GARUDACHAR PALYA, HOODI, AGRAHARA",29
319-J,MAJESTIC,AMBEDKAR NAGAR,"HALASURU, GARUDACHAR PALYA, HOODI, BA AGRAHARA",29
320-A,MAJESTIC,NAGONDANAHALLI,"HALASURU, GARUDACHAR PALYA, HOODI, IMMADIHALLI",29
321-J,MAJESTIC,MUTTUKURU,"HALASURU, GARUDACHAR PALYA, HOODI, NAGANAYAKANAKOTE",29
322-A,MAJESTIC,THATHANUR,"HALASURU, CHANNASANDRA, MATKAGURU, MUTHUGADAHALLI",29
323-AK,MAJESTIC,GONIGHATTAPURA,"MARATHAHALLI, VARTHUR, RAMAGONDANAHALLI",29-A
232-F,MAJESTIC,NERIGE,"MARATHAHALLI, VARTHUR, GUNJURU",29-A
325-A,MAJESTIC,HAROHALLI,"MARATHAHALLI, SIDDAPURA, VARTHUR",29-A
327-A,MAJESTIC,DOMMASANDRA,"MARATHAHALLI, VARTHUR, GUNJURU",29-A
327-G,MAJESTIC,KUGUR,"MARATHAHALLI, SIDDAPURA, VARTHUR, NERIGE",29-A
327-K,MAJESTIC,SARJAPURA,"MARATHAHALLI, KADUBISANAHALLI, KANNALI, KODATIGET, HEMARE",29-A
328-E,MAJESTIC,VARTHUR,"MARATHAHALLI, SIDDAPURA, KODI",29-A
328-M,MAJESTIC,MADHURA NAGAR,"MARATHAHALLI, SIDDAPURA, VARTHUR",29-A
334-C,MAJESTIC,NAGASANDRA,"DOMLURU, N.A.L., GOLF CLUB",29-B
334-D,MAJESTIC,VARTHUR,"DOMLURU, HAL, MARATHAHALLI, KODI",29-B
335-AA,MAJESTIC,WHITEFIELD TTMC,"MARATHAHALLI, KUNDALAHALLI, GRAPHIT INDIA",29-B
335-N,MAJESTIC,KADUGODI,"DOMLURU, HAL, MARATHAHALLI, ITPL, HOPE FARM",29-B
335-F,MAJESTIC,LAL BAHADUR SHASTRI NAGAR,"DOMLURU, HAL",29-B
336-B,MAJESTIC,KEMPAPURA,"DOMLURU, HAL, YAMALURU",29-B
KBS-1I,MAJESTIC,KADUGODI,"DOMLURU, HAL, MARATHAHALLI, ITPL, VAIDEHI",29-B
KBS-1K,MAJESTIC,KADUGODI,"DOMLUR, MARATHAHALLI, SIDDAPURA, KODI, WHITEFIELD",29-B
